"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2020","67,565","",
"01","Alabama","01003","Baldwin","2020","71,135","",
"01","Alabama","01005","Barbour","2020","38,866","",
"01","Alabama","01007","Bibb","2020","50,907","",
"01","Alabama","01009","Blount","2020","55,203","",
"01","Alabama","01011","Bullock","2020","33,124","",
"01","Alabama","01013","Butler","2020","42,268","",
"01","Alabama","01015","Calhoun","2020","50,259","",
"01","Alabama","01017","Chambers","2020","39,318","",
"01","Alabama","01019","Cherokee","2020","50,388","",
"01","Alabama","01021","Chilton","2020","52,693","",
"01","Alabama","01023","Choctaw","2020","41,649","",
"01","Alabama","01025","Clarke","2020","44,178","",
"01","Alabama","01027","Clay","2020","44,763","",
"01","Alabama","01029","Cleburne","2020","50,134","",
"01","Alabama","01031","Coffee","2020","54,203","",
"01","Alabama","01033","Colbert","2020","54,185","",
"01","Alabama","01035","Conecuh","2020","34,664","",
"01","Alabama","01037","Coosa","2020","46,509","",
"01","Alabama","01039","Covington","2020","43,544","",
"01","Alabama","01041","Crenshaw","2020","45,927","",
"01","Alabama","01043","Cullman","2020","51,844","",
"01","Alabama","01045","Dale","2020","48,493","",
"01","Alabama","01047","Dallas","2020","37,679","",
"01","Alabama","01049","DeKalb","2020","47,156","",
"01","Alabama","01051","Elmore","2020","62,524","",
"01","Alabama","01053","Escambia","2020","41,212","",
"01","Alabama","01055","Etowah","2020","47,872","",
"01","Alabama","01057","Fayette","2020","45,937","",
"01","Alabama","01059","Franklin","2020","40,448","",
"01","Alabama","01061","Geneva","2020","39,882","",
"01","Alabama","01063","Greene","2020","33,609","",
"01","Alabama","01065","Hale","2020","41,836","",
"01","Alabama","01067","Henry","2020","51,126","",
"01","Alabama","01069","Houston","2020","54,391","",
"01","Alabama","01071","Jackson","2020","46,606","",
"01","Alabama","01073","Jefferson","2020","57,802","",
"01","Alabama","01075","Lamar","2020","40,204","",
"01","Alabama","01077","Lauderdale","2020","52,293","",
"01","Alabama","01079","Lawrence","2020","48,924","",
"01","Alabama","01081","Lee","2020","58,963","",
"01","Alabama","01083","Limestone","2020","70,850","",
"01","Alabama","01085","Lowndes","2020","37,499","",
"01","Alabama","01087","Macon","2020","37,736","",
"01","Alabama","01089","Madison","2020","67,810","",
"01","Alabama","01091","Marengo","2020","43,198","",
"01","Alabama","01093","Marion","2020","44,333","",
"01","Alabama","01095","Marshall","2020","51,417","",
"01","Alabama","01097","Mobile","2020","50,871","",
"01","Alabama","01099","Monroe","2020","38,812","",
"01","Alabama","01101","Montgomery","2020","49,607","",
"01","Alabama","01103","Morgan","2020","55,688","",
"01","Alabama","01105","Perry","2020","33,712","",
"01","Alabama","01107","Pickens","2020","41,870","",
"01","Alabama","01109","Pike","2020","43,141","",
"01","Alabama","01111","Randolph","2020","46,679","",
"01","Alabama","01113","Russell","2020","40,821","",
"01","Alabama","01117","Shelby","2020","88,444","",
"01","Alabama","01115","St. Clair","2020","61,973","",
"01","Alabama","01119","Sumter","2020","32,275","",
"01","Alabama","01121","Talladega","2020","44,802","",
