,E,D,C,B,A,O,A',B',C',D',E',outcomes,str_out_det
0,8206,8289,8250,8072,8188,8178,8136,8141,8167,8290,8083,"{'tie': 0, 'left_suc_strategic': 0, 'left_unsuc_best_try': 0, 'left_unsuc_sincere': 0, 'left_unsuc_random': 0, 'left_winning_sincere': 0, 'right_suc_strategic': 0, 'right_unsuc_best_try': 0, 'right_unsuc_sincere': 0, 'right_unsuc_random': 0, 'right_winning_sincere': 0}","{'left_suc_strategic': {-9: 0, -7: 0, -5: 0, -3: 0, -1: 0}, 'left_unsuc_best_try': {-9: 0, -7: 0, -5: 0, -3: 0, -1: 0}, 'right_suc_strategic': {1: 0, 3: 0, 5: 0, 7: 0, 9: 0}, 'right_unsuc_best_try': {1: 0, 3: 0, 5: 0, 7: 0, 9: 0}}"
1,13272,7547,7153,6863,6385,8178,6401,6547,7015,7315,13324,"{'tie': 826, 'left_suc_strategic': 1463, 'left_unsuc_best_try': 5506, 'left_unsuc_sincere': 5533, 'left_unsuc_random': 5463, 'left_winning_sincere': 24861, 'right_suc_strategic': 1433, 'right_unsuc_best_try': 5777, 'right_unsuc_sincere': 5703, 'right_unsuc_random': 5918, 'right_winning_sincere': 23690}","{'left_suc_strategic': {-9: 0, -7: 165, -5: 279, -3: 400, -1: 619}, 'left_unsuc_best_try': {-9: 1079, -7: 1090, -5: 1092, -3: 1095, -1: 1150}, 'right_suc_strategic': {1: 534, 3: 458, 5: 271, 7: 170, 9: 0}, 'right_unsuc_best_try': {1: 1114, 3: 1199, 5: 1160, 7: 1217, 9: 1087}}"
2,15053,7209,6718,6447,5926,8178,5691,5981,6648,7007,15142,"{'tie': 664, 'left_suc_strategic': 959, 'left_unsuc_best_try': 4957, 'left_unsuc_sincere': 4828, 'left_unsuc_random': 4994, 'left_winning_sincere': 27656, 'right_suc_strategic': 971, 'right_unsuc_best_try': 5189, 'right_unsuc_sincere': 5250, 'right_unsuc_random': 5274, 'right_winning_sincere': 25578}","{'left_suc_strategic': {-9: 0, -7: 103, -5: 228, -3: 307, -1: 321}, 'left_unsuc_best_try': {-9: 2290, -7: 777, -5: 685, -3: 621, -1: 584}, 'right_suc_strategic': {1: 346, 3: 296, 5: 214, 7: 115, 9: 0}, 'right_unsuc_best_try': {1: 676, 3: 678, 5: 691, 7: 753, 9: 2391}}"
3,15501,7161,6652,6349,5738,8178,5545,5835,6524,6861,15656,"{'tie': 449, 'left_suc_strategic': 602, 'left_unsuc_best_try': 4179, 'left_unsuc_sincere': 4390, 'left_unsuc_random': 4497, 'left_winning_sincere': 30243, 'right_suc_strategic': 579, 'right_unsuc_best_try': 4580, 'right_unsuc_sincere': 4641, 'right_unsuc_random': 4554, 'right_winning_sincere': 28396}","{'left_suc_strategic': {-9: 0, -7: 73, -5: 127, -3: 168, -1: 234}, 'left_unsuc_best_try': {-9: 2368, -7: 499, -5: 469, -3: 439, -1: 404}, 'right_suc_strategic': {1: 204, 3: 162, 5: 142, 7: 71, 9: 0}, 'right_unsuc_best_try': {1: 424, 3: 481, 5: 505, 7: 585, 9: 2585}}"
4,15618,7174,6591,6364,5684,8178,5503,5909,6512,6849,15618,"{'tie': 368, 'left_suc_strategic': 375, 'left_unsuc_best_try': 3855, 'left_unsuc_sincere': 3877, 'left_unsuc_random': 3848, 'left_winning_sincere': 32475, 'right_suc_strategic': 408, 'right_unsuc_best_try': 3998, 'right_unsuc_sincere': 4075, 'right_unsuc_random': 4045, 'right_winning_sincere': 30545}","{'left_suc_strategic': {-9: 0, -7: 38, -5: 87, -3: 108, -1: 142}, 'left_unsuc_best_try': {-9: 2317, -7: 450, -5: 384, -3: 364, -1: 340}, 'right_suc_strategic': {1: 135, 3: 134, 5: 83, 7: 56, 9: 0}, 'right_unsuc_best_try': {1: 347, 3: 335, 5: 414, 7: 419, 9: 2483}}"
5,15450,7287,6657,6420,5717,8178,5557,5941,6545,6856,15392,"{'tie': 290, 'left_suc_strategic': 307, 'left_unsuc_best_try': 3494, 'left_unsuc_sincere': 3356, 'left_unsuc_random': 3418, 'left_winning_sincere': 34150, 'right_suc_strategic': 259, 'right_unsuc_best_try': 3661, 'right_unsuc_sincere': 3498, 'right_unsuc_random': 3516, 'right_winning_sincere': 32431}","{'left_suc_strategic': {-9: 0, -7: 37, -5: 68, -3: 87, -1: 115}, 'left_unsuc_best_try': {-9: 2283, -7: 348, -5: 289, -3: 300, -1: 274}, 'right_suc_strategic': {1: 80, 3: 78, 5: 61, 7: 40, 9: 0}, 'right_unsuc_best_try': {1: 267, 3: 321, 5: 321, 7: 335, 9: 2417}}"
6,15153,7318,6739,6496,5807,8178,5649,6035,6614,6969,15042,"{'tie': 213, 'left_suc_strategic': 215, 'left_unsuc_best_try': 2975, 'left_unsuc_sincere': 2988, 'left_unsuc_random': 2994, 'left_winning_sincere': 35861, 'right_suc_strategic': 200, 'right_unsuc_best_try': 3250, 'right_unsuc_sincere': 3054, 'right_unsuc_random': 3081, 'right_winning_sincere': 33821}","{'left_suc_strategic': {-9: 0, -7: 30, -5: 55, -3: 55, -1: 75}, 'left_unsuc_best_try': {-9: 1980, -7: 289, -5: 229, -3: 244, -1: 233}, 'right_suc_strategic': {1: 78, 3: 46, 5: 48, 7: 28, 9: 0}, 'right_unsuc_best_try': {1: 244, 3: 246, 5: 277, 7: 269, 9: 2214}}"
7,14750,7424,6879,6590,5920,8178,5753,6121,6667,7120,14598,"{'tie': 176, 'left_suc_strategic': 159, 'left_unsuc_best_try': 2600, 'left_unsuc_sincere': 2642, 'left_unsuc_random': 2593, 'left_winning_sincere': 37146, 'right_suc_strategic': 176, 'right_unsuc_best_try': 2753, 'right_unsuc_sincere': 2763, 'right_unsuc_random': 2745, 'right_winning_sincere': 35176}","{'left_suc_strategic': {-9: 0, -7: 18, -5: 39, -3: 41, -1: 61}, 'left_unsuc_best_try': {-9: 1783, -7: 238, -5: 197, -3: 211, -1: 171}, 'right_suc_strategic': {1: 58, 3: 53, 5: 45, 7: 20, 9: 0}, 'right_unsuc_best_try': {1: 183, 3: 208, 5: 214, 7: 233, 9: 1915}}"
8,14356,7528,6968,6717,6056,8178,5844,6217,6766,7181,14189,"{'tie': 182, 'left_suc_strategic': 147, 'left_unsuc_best_try': 2234, 'left_unsuc_sincere': 2345, 'left_unsuc_random': 2293, 'left_winning_sincere': 38230, 'right_suc_strategic': 137, 'right_unsuc_best_try': 2462, 'right_unsuc_sincere': 2307, 'right_unsuc_random': 2457, 'right_winning_sincere': 36256}","{'left_suc_strategic': {-9: 0, -7: 22, -5: 44, -3: 38, -1: 43}, 'left_unsuc_best_try': {-9: 1520, -7: 187, -5: 188, -3: 166, -1: 173}, 'right_suc_strategic': {1: 61, 3: 39, 5: 19, 7: 18, 9: 0}, 'right_unsuc_best_try': {1: 170, 3: 200, 5: 207, 7: 214, 9: 1671}}"
9,14015,7606,7047,6847,6109,8178,5929,6281,6844,7277,13867,"{'tie': 148, 'left_suc_strategic': 128, 'left_unsuc_best_try': 1975, 'left_unsuc_sincere': 1972, 'left_unsuc_random': 2101, 'left_winning_sincere': 39202, 'right_suc_strategic': 146, 'right_unsuc_best_try': 2120, 'right_unsuc_sincere': 2105, 'right_unsuc_random': 2060, 'right_winning_sincere': 37185}","{'left_suc_strategic': {-9: 0, -7: 13, -5: 31, -3: 36, -1: 48}, 'left_unsuc_best_try': {-9: 1354, -7: 180, -5: 150, -3: 151, -1: 140}, 'right_suc_strategic': {1: 52, 3: 51, 5: 27, 7: 16, 9: 0}, 'right_unsuc_best_try': {1: 129, 3: 151, 5: 186, 7: 175, 9: 1479}}"
